tier,keyword,avg_monthly_searches,competition,bid_low,bid_high
2,certified payroll software,,,,
2,prevailing wage software,,,,
2,davis bacon software,,,,
2,certified payroll reporting,,,,
2,certified payroll service,,,,
2,prevailing wage compliance software,,,,
1,certified payroll rejected,,,,
1,wh-347,,,,
1,how to fill out certified payroll,,,,
1,certified payroll fringe benefits,,,,
1,do i have to pay fringe benefits in cash,,,,
1,certified payroll overtime calculation,,,,
1,certified payroll mistakes,,,,
1,wh-347 instructions,,,,
1,certified payroll help,,,,
1,davis bacon fringe benefits,,,,
3,lcptracker alternative,,,,
3,certified payroll pro alternative,,,,
3,certified payroll software for small contractors,,,,
3,cheap certified payroll software,,,,
